Sexo;Edad;Nacionalidad;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total;74 años;Española;Total Nacional;;;2023;434.795
Total;74 años;Extranjera;Total Nacional;;;2023;23.300
Total;75 años;Total;Total Nacional;;;2023;412.103
Total;75 años;Española;Total Nacional;;;2023;389.951
Total;75 años;Extranjera;Total Nacional;;;2023;22.152
Total;76 años;Total;Total Nacional;;;2023;386.918
Total;76 años;Española;Total Nacional;;;2023;367.152
Total;76 años;Extranjera;Total Nacional;;;2023;19.766
Total;77 años;Total;Total Nacional;;;2023;394.960
Total;77 años;Española;Total Nacional;;;2023;378.804
Total;77 años;Extranjera;Total Nacional;;;2023;16.156
Total;78 años;Total;Total Nacional;;;2023;367.056
Total;78 años;Española;Total Nacional;;;2023;351.208
Total;78 años;Extranjera;Total Nacional;;;2023;15.848
Total;79 años;Total;Total Nacional;;;2023;351.975
Total;79 años;Española;Total Nacional;;;2023;338.110
Total;79 años;Extranjera;Total Nacional;;;2023;13.865
Total;80 años;Total;Total Nacional;;;2023;294.214
Total;80 años;Española;Total Nacional;;;2023;281.790
Total;80 años;Extranjera;Total Nacional;;;2023;12.424
Total;81 años;Total;Total Nacional;;;2023;262.571
Total;81 años;Española;Total Nacional;;;2023;251.855
Total;81 años;Extranjera;Total Nacional;;;2023;10.716
Total;82 años;Total;Total Nacional;;;2023;308.468
Total;82 años;Española;Total Nacional;;;2023;298.678
Total;82 años;Extranjera;Total Nacional;;;2023;9.790
Total;83 años;Total;Total Nacional;;;2023;194.324
Total;83 años;Española;Total Nacional;;;2023;185.974
Total;83 años;Extranjera;Total Nacional;;;2023;8.350
Total;84 años;Total;Total Nacional;;;2023;209.200
Total;84 años;Española;Total Nacional;;;2023;202.009
Total;84 años;Extranjera;Total Nacional;;;2023;7.191
Total;85 años;Total;Total Nacional;;;2023;220.461
Total;85 años;Española;Total Nacional;;;2023;214.619
Total;85 años;Extranjera;Total Nacional;;;2023;5.842
Total;86 años;Total;Total Nacional;;;2023;223.812
Total;86 años;Española;Total Nacional;;;2023;218.906
Total;86 años;Extranjera;Total Nacional;;;2023;4.906
Total;87 años;Total;Total Nacional;;;2023;200.095
Total;87 años;Española;Total Nacional;;;2023;196.095
Total;87 años;Extranjera;Total Nacional;;;2023;4.000
Total;88 años;Total;Total Nacional;;;2023;179.452
Total;88 años;Española;Total Nacional;;;2023;176.273
Total;88 años;Extranjera;Total Nacional;;;2023;3.179
Total;89 años;Total;Total Nacional;;;2023;161.976
Total;89 años;Española;Total Nacional;;;2023;159.446
Total;89 años;Extranjera;Total Nacional;;;2023;2.530
